Region,Country,Location,Course,Play,Type,Date,NumberHoles,Architect,Budget,Budget2,Construction,ETA,Year,TypeOfJob,Status,Current,History,DataCurated,Latitude,Longitude,Website,YouTube,Instagram,InstaCaption,Acres,Comments,YouTubeCaption,Twitter,TwitterCaption
N America,USA,Minnesota,Windsong Farm North,Once,Member,2024,,John Fought,,,Duininck,ETA August 2024,,New,Construction,,,2023-05-08,44.9871768,-93.7394384,https://www.bizjournals.com/twincities/news/2022/12/05/windsong-farm-golf-club-proposing-second-course.html,,,,,,,DuininckGolf/status/1654589118372798464,Pure Select A4
N America,USA,Montana,Crazy Mountain,Once,Member,2026,,Bill Coore Ben Crenshaw,,,,,,New,Construction,,,2023-07-28,45.8935508,-110.4923968,https://fescue.github.io/Crazy-Mountain-Ranch/,,,,,Riley Johns,,KeithRhebb/status/1661877843117371393,Keith Rhebb
N America,USA,Nebraska,Dismal River Big Horseshoe Hill,Once,Member,2026,,TBA,,,,,,New,Drawing boards ,,,2023-02-11,41.8619768,-101.2899747,https://omaha.com/sports/golf/nebraskas-dismal-river-club-set-to-add-a-third-golf-course-amid-management-change/article_4d563a1e-a7b8-11ed-9ae3-4b9d446902ab.html,,,,,KemperSports,,,
N America,USA,Nebraska,GrayBull,Once,Member,2024,,David Kidd,,,,,,New,Construction,,,2023-07-10,41.196591,-100.484189,https://fescue.github.io/GrayBull/,,,,,Koontz Jones Design,,,
N America,USA,New Jersey,Trout National - The Reserve,Once,Member,2025,,Tiger Woods,,,Beau Welling,,,New,Construction,,,2023-08-26,39.25256,-75.00418,https://fescue.github.io/Trout-National/,,,,,John Ruga,,MikeTrout/status/1695070118345105414,Mike Trout
N America,USA,New Jersey,Old Bridge,Govt.,Public,2023,,Stephen Kay,$8M,,Mead,,,New,Open,,,2023-08-16,40.4165229,-74.2803051,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/1920912/Single_Page_Rendering_-_OB_Township.pdf,k9KaKWlUYL4,,,,,Biarritz Green,GolfBlogDotCom/status/1607684225565872128,Environmental
N America,USA,New York,Two Lewis Road,Once,Member,2026,,Fazio Courcelle,,,,,,New,Drawing boards ,,,2022-10-07,40.8515226,-72.610372,https://pb.state.ny.us/assets/1/6/Response_Document_7_1_2020_completed_(1).pdf,gPN7ooXtMFo,,,,,Planning Board,BPBlackMetal/status/1496144948541931521,Discovery
N America,USA,North Carolina,Contentment,Once,Member,2025,18,Lester George,,,Landscapes Unlimited,ETA Sept 2025,,New,Construction,,,2023-10-24,36.266109,-80.885119,https://www.contentmentgolf.com,OXfXjKe6bxo,ContentmentGolf,Punchbowl,,,Routing,,
N America,USA,North Carolina,Pinehurst #10,Holiday,Public,2024,18,Doak Moser,,,LaBar,ETA April 2024,,New,Construction,,,2023-09-23,35.1467958,-79.4512055,https://www.thepilot.com/news/pinehurst-breaking-ground-on-course-no-10-this-month-doak-on-design/article_b343fb92-8c36-11ed-8bcf-37ab3520210c.html,hhalcm-yz2k,,,,925 acres,Walk tee to green,PinehurstResort/status/1625896068289376256,Angela Moser
N America,USA,North Carolina,Pinehurst #11,Holiday,Public,2027,18,TBA,,,,,,New,Drawing boards ,,,2023-11-04,35.1467958,-79.4512055,https://golfcoursearchitecture.net/digital/magazine/issue74/60/#zoom=true,,,,,,,,
N America,USA,Oregon,New River Dunes,Holiday,Public,2026,,David Kidd,,,,,,New,Drawing boards ,,,2021-11-16,42.9994479,-124.4754007,https://golfweek.usatoday.com/2021/07/20/mike-keiser-bandon-dunes-new-courses-oregon/,,,,,,,,
N America,USA,Oregon,Tribute Club,Holiday,Public,2024,,Whitman Axland Cutten,,,,,,New,Construction,,,2023-12-07,44.247435,-121.3212,https://fescue.github.io/Tribute-Club-Thornburgh/,K8UipLF8EoM,,,,Thornburgh Resort,Water rights,beyondcontour/status/1658457341677690883,Minimalism
N America,USA,Rhode Island,Newport National West,Holiday,Public,2023,,Forrest Smith,,,VM Golf Services,,,New,Open,,,2023-04-17,41.7050377,-71.2739556,https://www.newportnational.com,,vmgolfservices,VM Golf,,New 9 holes,,vmgolfservices/status/1670917889610641417,Inspection
N America,USA,Rhode Island,South Shore GC,Holiday,Public,2023,,Ron Cutlip,,,Talent Golf,,,New,Open,,,2023-10-26,41.416708,-71.8970281,https://southshorevillageri.com/55-plus-golf-course/,,,,,Momentum Golf,,,
N America,USA,South Carolina,21 Club,Once,Member,2025,,Tad King Rob Collins,,,,,,New,Drawing boards ,,,2023-10-24,34.5343207,-80.1012008,https://21golfclub.com,,,,,,,,
N America,USA,South Carolina,Broomsedge,Holiday,Public,2024,,Kyle Franz Mike Koprowski,,,,ETA Nov 2024,,New,Construction,,,2023-11-21,34.1013394,-80.513198,https://fescue.github.io/Broomsedge-Golf-Club/,,broomsedge_club,Broomsedge,,,,MazzellaGolf/status/1591560914943229952,Mazzella
N America,USA,South Carolina,Old Barnwell,Once,Member,2023,,Brian Schneider Blake Conant,,,MacCurrach,,,New,Open,,,2023-10-17,33.4569422,-81.5602724,https://oldbarnwell.com,TQOyZlvkves,old_barnwell,old_barnwell,,,Superintendent ,Old_Barnwell/status/1432877811207913472,Routing
N America,USA,South Carolina,Old Sawmill,Once,Member,2024,,Tyler Rae Jim Ryan,,,,,,New,Drawing boards ,,,2023-08-16,32.9536785,-80.1089583,https://www.jimryangcdesign.com/copy-of-plans?pgid=ljocemau-e035a13e-1d31-4d8f-8d92-915db1dfe9f8,,,,,,,,
