Region,Country,Location,Course,Date,Architect,TypeOfJob,Status,History,DataCurated,Latitude,Longitude,Website,YouTube,Comments,YouTubeCaption,Twitter,TwitterCaption,ArchitectURL,Archive1,Archive2
N America,USA,Florida,Boca National,2021,Fazio Price,Rebuild,Permits,,2021-01-24,26.372862,-80.159064,https://fescue.github.io/Boca-National/,Y9pBX139JXM,,City Council,,,,,
N America,USA,Florida,Delray Beach,2025,6 proposals,Rebuild,Council,Donald Ross  ,2023-05-11,26.4519612,-80.099891,https://fescue.github.io/Delray-Beach-Golf-Club/,,Real estate 6 acre land swap,County Municipal,,,,,
N America,USA,Florida,Heritage Palms Royal,2022,Gordon Lewis,Renovate,Drawing boards ,Azinger Lewis,2021-10-29,26.590929,-81.823293,https://www.hpgcc.com/,NICmoNNPo7Q,,TifEagle,,,,,
N America,USA,Florida,Lekarica Hills CC,2014,TBD,Rebuild,Golf Course Closed,Van Kleek Stiles,2023-10-23,28.415917,-82.0950929,https://www.florida-backroads-travel.com/highland-park-florida.html,kLUn3EcL83I,,Site tour,,,,,
N America,USA,Florida,Lone Pine GC,2027,TBD,Rebuild,Real estate,,2023-07-21,26.7686856,-80.1119905,https://www.wptv.com/news/region-c-palm-beach-county/riviera-beach/fate-of-former-riviera-beach-golf-course-in-limbo,,Riviera Beach,,,,,,
N America,USA,Florida,Paradise Isle,2026,Ron Garl,Renovate,Drawing boards ,,2023-07-13,26.552824,-82.089038,https://fescue.github.io/Paradise-Isle/,,,,,,,,
N America,USA,Georgia,Roosevelt Memorial,2027,TBA,New,Drawing boards ,Donald Ross  ,2023-08-01,32.8882471,-84.6994818,https://fescue.github.io/Roosevelt-Memorial-Golf-Course/,,,,,,,,
N America,USA,Hawaii,Makaha North Course,2022,Tiger Woods,Rebuild,Drawing boards ,,2023-01-01,21.4737667,-158.1965787,https://www.khon2.com/local-news/makaha-valley-resort-buyer-plans-to-redevelop-property/,ihLZmXIYv0c,New owner KH Makaha,$20M sale,,,,,
N America,USA,Hawaii,Makaha South Course,2022,Gil Hanse,Rebuild,Drawing boards ,Billy Bell Jr.,2023-01-01,21.4737667,-158.1965787,https://golfincmagazine.com/content/makaha-valley-golf-resort-sells-207-million/,,,,,,,,
N America,USA,Idaho,McCall GC,2023,David Druzisky,Masterplan,Drawing boards ,,2023-12-30,44.915781,-116.08419,https://www.mccall.id.us/media/GOLF/McCall%20Golf%20Club%20Master%20Plan%20Text%208.31.20.pdf,,$3.7M,,,,,,
N America,USA,Idaho,Twisted Earth,2023,Gene Bates,New,Drawing boards ,,2021-02-26,47.42372,-116.96624,https://fescue.github.io/,,,,,,,,
N America,USA,Idaho,Willowbrook,2027,Phil Smith,New,Drawing boards ,,2023-12-09,43.6709703,-116.4469687,https://www.staridaho.org/sites/default/files/fileattachments/planning_amp_zoning/page/4200/willowbrook_narrative.pdf,,Richard M. Phillips,,,,,,
N America,USA,Illinois,Southshore Jackson Park,2032,Tiger Woods,Rebuild,Drawing boards ,,2024-01-09,41.7774043,-87.5890337,https://fescue.github.io/Chicago-Jackson-Park-Golf/,,,,,,,,
N America,USA,Iowa,Waveland,2022,TBA,Restore,Drawing boards ,,2022-05-13,41.5995477,-93.6885282,https://golfwaveland.com/history-of-waveland/history,TWbz2ADxwC4,waveland1932project.org,Joe Wandro,,,,,
N America,USA,Louisiana,Bedico Creek,2010,TBA,New,Never started,,2023-01-01,30.4374319,-90.2719404,https://livebedico.com/buy-lot-get-500-acres-free-whats-bedico-creek/,,,,,,,,
N America,USA,Louisiana,Eastover,2009,TBA,Rebuild,Never started,,2023-01-01,30.0398159,-89.9576187,https://veritenews.org/2023/04/27/the-future-of-the-crown-jewel-of-new-orleans-east/,,$5M,,,,,,
N America,USA,Maryland,Greenbury Point,2023,Jack Nicklaus,New,Never started,,2023-06-21,38.984199,-76.4518473,https://fescue.github.io/Greenbury-Point-Golf/,,,,,,,,
