Region,Country,Location,Course,i100,Architect,Construction,TypeOfJob,Status,History,DataCurated,Latitude,Longitude,Website,YouTube,Instagram,InstaCaption,BackTee,Budget,Acres,Comments,YouTubeCaption,Twitter,TwitterCaption,Bob,ArchitectURL
N America,USA,California,Dairy Creek,,Andy Staples,,Renovation,Open ,,2021-12-13,,,,,,,,,,,,,,,
N America,USA,California,Hillcrest CC,,Kyle Phillips,m6 Consulting,Renovation,Open,William Watson,2020-05-02,34.049096,-118.406087,https://www.hcc-la.com/,,,,,,,,,,,,
N America,USA,California,La Jolla CC ,, Eckenrode ,Casa Verde,Renovation,Open,William F. Bell,2020-11-06,32.8379052,-117.2712377,https://www.lajollacountryclub.com/,,lajollacountryclub,lajollacountryclub,,,,,,,,,
N America,USA,California,Valley Club of Montecito ,100, Tom Doak ,,Renovation,Open ,Mackenzie,2020-05-02,34.4330977,-119.6174428,,,valleyclubofmontecito,valleyclubofmontecito,,,,flood damage,,,,,
N America,USA,California,Yorba Linda CC ,, OCallaghan ,,Renovation,Open ,Rainville ,2020-05-02,33.8771114,-117.7969457,,,,,,,,,,,,,
N America,USA,Florida,Bonita Bay (May Island) ,,Forrest Smith ,,Renovation,Open ,Arthur Hills,2020-05-02,26.3522052,-81.8158415,,BiBCXiHlgZg,,,,,,, April 2020,,,,
N America,USA,Florida,Countryside,,Kipp Schulties,,Renovation,Open,Arthur Hills,2020-05-02,26.141877,-81.724395,https://www.countrysidegcc.net/,3oZv63BlrcI,,,,$5.5M,,,Before/After,,,,
N America,USA,Florida,Fort Lauderdale (N) ,,Kipp Schulties ,,Renovation,Open ,Lawrence ,2020-05-02,26.1150648,-80.2100687,,,,,,,,,,,,,
N America,USA,Florida,Jacksonville G&CC,,Clyde Johnston,MacCurrach,Renovation,Open ,Clyde Johnston,2020-01-02,30.273348,-81.4685579,https://www.golfcourseindustry.com/news/jacksonville-florida-golf-redesign/,SKyWdmt-36Q,,,,,,,Golf Construction,,,,
N America,USA,Florida,Pelican GC,,Beau Welling,,Renovation,Open,Beau Welling,2020-07-07,27.930608,-82.8102102,https://www.pelicangolfclub.com/,,,,,,,,,,,,
N America,USA,Georgia,Chimney Oaks,,McCumber,,Renovation,Open,,2020-07-07,34.3538538,-83.4867314,https://www.chimneyoaksgolfclub.com/,VxtI_2vaXC8,,,,,,,Greens aerification,,,,
N America,USA,Georgia,Great Waters Reynolds,,Nicklaus Goetz,,Renovation,Open,,2020-07-01,33.4862849,-83.3678448,https://www.reynoldslakeoconee.com/?utm_source=press%20release&utm_medium=pr&utm_campaign=Great%20Waters%20Reopen,OmyBwWaPNLM,reynoldslakeoconee,reynoldslakeoconee,,,,,1992->2020,,,,
N America,USA,Georgia,Sea Island (Plantation) ,,Davis Love,,Renovation,Open ,,2020-05-02,31.1390433,-81.4080239,,p5V7jT7eWNk,,,,,,includes Travis 9 ,Golf Channel,,,,
N America,USA,Georgia,TPC Sugarloaf ,,Greg Norman,,Renovation,Open ,Norman ,2020-05-02,33.9978944,-84.1111473,,,,,,,,Greens bunkers irrigation,,,,,
N America,USA,Illinois,St Charles CC,,Benkusky,,Restoration,Open,,2020-05-14,41.9411948,-88.304067,https://www.stcharlescc.com,,,,,,,Refresh bunkers,,,,,
N America,USA,Illinois,White Eagle,,Todd Quitno,,Renovation,Open,,2020-10-10,41.7226231,-88.2180047,http://www.whiteeaglegc.com/,Ux2lIG3LnrI,,,,,,,Flyover,,,,
N America,USA,Louisiana,TPC Louisiana,,,,Renovation,Open,Gibson Gray Dye,2020-09-24,29.9023741,-90.1914283,https://tpc.com/louisiana/,e-yFVsJvcMo,,,,,,,Drone coverage,,,,
N America,USA,Maryland,Burning Tree,,Gil Hanse,,Renovation,Open,,2020-07-05,38.9998977,-77.1521431,https://issuu.com/totalturfgolfservices/docs/burning_tree_club_as_built_-_11_x_17,,,,,,,,,,,,
N America,USA,Massachusetts,Longmeadow,,,,Renovation,Open,,2022-12-31,42.0403789,-72.5726482,https://www.masslive.com/golf/2018/04/new-look_longmeadow_country_club_to_retain_old-school_feel.html,,,,,$4M,,Bradley Klein,,,,,
N America,USA,Minnesota,Braemar,,Richard Mandell,,Renovation,Open,,2020-06-27,44.867092,-93.3851268,https://www.edinamn.gov/202/Championship-18,8J5INcbvt7k,,,,,,,Bunkers,,,,https://www.facebook.com/nicklauscompanies/photos/pcb.3380587638675761/3380587575342434/
N America,USA,Minnesota,Timber Creek,,Kari Haug,,Renovation,Open,,2021-12-31,44.9528732,-93.774311,https://www.timbercreekgolfmn.com/,,,,,,,,,,,,
N America,USA,New Jersey,Manasquan River GC,,Andrew Green,LaBar,Restoration,Open,Robert White,2024-02-02,40.8607515,-74.2908959,https://www.mrgc.com/,,,,,,,,,ToddS76/status/1122065892370800640,Waterfront,,
N America,USA,New Jersey,Mountain Ridge ,,Ron Prichard,,Restoration,Open,Donald Ross ,2020-05-02,40.8607515,-74.2908959,https://www.mountainridgecc.org/,Avk6nGIxSgs,,,,,,,GM,,,,
N America,USA,New York,Saratoga Golf & Polo,Short,Goalby Normoyle,,Renovation,Open,,2020-05-02,43.0857287,-73.8026455,https://www.saratogagolfpoloclub.org/,,,,,,,,,,,,
N America,USA,North Carolina,Cape Fear CC,,Andrew Green,,Renovation,Open,Donald Ross ,2020-07-16,34.220117,-77.9200077,https://www.capefearcountryclub.net/,,capefearcountryclub,capefearcountryclub,,$5M,,,,GreenGCA/status/1282473631495397376,Hole 18,,
N America,USA,North Carolina,GlenCove Saddle,,Beau Welling,Landscapes Unlimited,Renovation,Open,,2020-12-31,35.1234518,-83.1171815,https://www.golfcourseindustry.com/article/saddle-glencove-short-course-jerry-west/,,,,,,,Joe Titzer,,,,,
N America,USA,Oklahoma,Southern Hills,100,Gil Hanse,Cavemen,Renovation,Open ,Perry Maxwell,2020-09-22,36.0700901,-95.9454585,https://www.southernhillscc.com/,TiCRWD0c_a8,,,,$11M,,,Russ Myers,the_fried_egg/status/1239254703604666375,Bermuda Grass,,
N America,USA,Oregon,Laurelwood,,Dan Hixson,,Renovation,Open ,,2023-09-13,44.0299287,-123.0705007,https://thefriedegg.com/laurelwood-golf-course-coronavirus-covid-19/,,,,,$0.14M,,,,Ltowngolf/status/1701792606949450093,Fried Egg,,
N America,USA,Pennsylvania,Country Club of York,,Andrew Green,,Restoration,Masterplan,Donald Ross ,2023-12-31,39.9276045,-76.7479461,https://ccyork.org,,,,,,,,,greengca/status/597361226914607105,Flynn Routing,,
N America,USA,Pennsylvania,Merion East,100,Gil Hanse ,,Restoration,Open ,Hugh Wilson,2020-05-02,40.0018685,-75.3139925,,,,,,,,,,,,,
N America,USA,Texas,Barton Creek Coore Crenshaw,,Bill Coore Ben Crenshaw,,Renovation,Open ,,2020-09-22,30.2706997,-97.8778696,https://golfincmagazine.com/content/omni-barton-creek-resort-set-reopen-after-18-month-150-million-renovation/,,,,,$6M,,Omni Hotels,,,,,
N America,USA,Texas,Barton Creek Foothills,,Tom Fazio,,Renovation,Open ,Tom Fazio Beau Welling  Roy Bechtol Dennis Wise,2020-09-22,30.2706997,-97.8778696,https://golfincmagazine.com/content/omni-barton-creek-resort-set-reopen-after-18-month-150-million-renovation/,,,,,$6M,,Omni Hotels,,,,,
N America,USA,Texas,Memorial Park ,,Tom Doak Brooks Koepka,,Renovation,Open,John Bredemus ,2020-09-22,29.7699901,-95.4393084,https://www.houstonmunigolf.com/,I0E6S3EaNHw,,,,,,$34M Mike Nuzzo,PGA Tour,HouOpenGolf/status/1252974411625435137,Less Bunkers,,
N America,USA,Virginia,Washington G&CC ,,Tom Doak Eric Iverson,,Renovation,Open,Ross Flynn ,2020-05-02,38.9075733,-77.1324319,https://www.washingtongolfcc.org/Golf,wXpe6zY-2yQ,,,,,,,April 2019,,,,
